[2011-01-30/20:32:54] mysqlqry | INSERT INTO session (`UserId`, `Ip`, `StartTime`, `LastRequest`, `Hits`, `UserAgent`) VALUES (0, 2130706433, 1296415974, 1296415974, 1, 'Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US) AppleWebKit/534.10 (KHTML, like Gecko) Chrome/8.0.552.237 Safari/534.10')
[2011-01-30/20:32:59] mysqlqry | SELECT a.Id, a.UserId, a.Ip, a.StartTime, a.LastRequest, a.Hits, a.UserAgent, b.CreationTime, b.CreationIp, b.DeletionId, b.Username, b.Passhash, b.Email FROM session AS a LEFT JOIN user AS b ON a.UserId = b.Id WHERE a.Id = 1
[2011-01-30/20:32:59] mysqlqry | UPDATE session SET Hits = 5 WHERE Id = 1
[2011-01-30/20:33:00] mysqlqry | SELECT a.Id, a.UserId, a.Ip, a.StartTime, a.LastRequest, a.Hits, a.UserAgent, b.CreationTime, b.CreationIp, b.DeletionId, b.Username, b.Passhash, b.Email FROM session AS a LEFT JOIN user AS b ON a.UserId = b.Id WHERE a.Id = 1
[2011-01-30/20:33:00] mysqlqry | UPDATE session SET LastRequest = 1296415980, Hits = 6 WHERE Id = 1
[2011-01-30/20:33:38] mysqlqry | SELECT a.Id, a.UserId, a.Ip, a.StartTime, a.LastRequest, a.Hits, a.UserAgent, b.CreationTime, b.CreationIp, b.DeletionId, b.Username, b.Passhash, b.Email FROM session AS a LEFT JOIN user AS b ON a.UserId = b.Id WHERE a.Id = 1
[2011-01-30/20:33:38] mysqlqry | UPDATE session SET LastRequest = 1296416018, Hits = 7 WHERE Id = 1
[2011-01-30/20:33:39] mysqlqry | SELECT a.Id, a.UserId, a.Ip, a.StartTime, a.LastRequest, a.Hits, a.UserAgent, b.CreationTime, b.CreationIp, b.DeletionId, b.Username, b.Passhash, b.Email FROM session AS a LEFT JOIN user AS b ON a.UserId = b.Id WHERE a.Id = 1
[2011-01-30/20:33:39] mysqlqry | UPDATE session SET LastRequest = 1296416019, Hits = 8 WHERE Id = 1
[2011-01-30/20:33:40] mysqlqry | SELECT a.Id, a.UserId, a.Ip, a.StartTime, a.LastRequest, a.Hits, a.UserAgent, b.CreationTime, b.CreationIp, b.DeletionId, b.Username, b.Passhash, b.Email FROM session AS a LEFT JOIN user AS b ON a.UserId = b.Id WHERE a.Id = 1
[2011-01-30/20:33:40] mysqlqry | SELECT a.Id, a.Md5, a.Gender, a.SessionId, a.UploadTime, a.SiteHits, a.PositiveRating, a.NegativeRating, a.DeletionId, b.UserId AS SesUserId, b.Ip AS SesIp, b.StartTime AS SesStartTime, b.LastRequest AS SesLastRequest, b.Hits AS SesHits, b.UserAgent AS SesUserAgent FROM picture AS a INNER JOIN session AS b ON a.SessionId = b.Id WHERE a.DeletionId IS NULL AND a.Gender = 0 ORDER BY RAND() LIMIT 2
[2011-01-30/20:33:40] mysqlqry | UPDATE session SET LastRequest = 1296416020, Hits = 9 WHERE Id = 1
[2011-01-30/20:33:41] mysqlqry | SELECT a.Id, a.UserId, a.Ip, a.StartTime, a.LastRequest, a.Hits, a.UserAgent, b.CreationTime, b.CreationIp, b.DeletionId, b.Username, b.Passhash, b.Email FROM session AS a LEFT JOIN user AS b ON a.UserId = b.Id WHERE a.Id = 1
[2011-01-30/20:33:41] mysqlqry | SELECT a.Id, a.Md5, a.Gender, a.SessionId, a.UploadTime, a.SiteHits, a.PositiveRating, a.NegativeRating, a.DeletionId, b.UserId AS SesUserId, b.Ip AS SesIp, b.StartTime AS SesStartTime, b.LastRequest AS SesLastRequest, b.Hits AS SesHits, b.UserAgent AS SesUserAgent FROM picture AS a INNER JOIN session AS b ON a.SessionId = b.Id WHERE a.DeletionId IS NULL AND a.Gender = 1 ORDER BY a.PositiveRating - a.NegativeRating LIMIT 10
[2011-01-30/20:33:41] mysqlqry | UPDATE session SET LastRequest = 1296416021, Hits = 10 WHERE Id = 1
[2011-01-30/20:33:41] mysqlqry | SELECT a.Id, a.UserId, a.Ip, a.StartTime, a.LastRequest, a.Hits, a.UserAgent, b.CreationTime, b.CreationIp, b.DeletionId, b.Username, b.Passhash, b.Email FROM session AS a LEFT JOIN user AS b ON a.UserId = b.Id WHERE a.Id = 1
[2011-01-30/20:33:41] mysqlqry | SELECT a.Id, a.Md5, a.Gender, a.SessionId, a.UploadTime, a.SiteHits, a.PositiveRating, a.NegativeRating, a.DeletionId, b.UserId AS SesUserId, b.Ip AS SesIp, b.StartTime AS SesStartTime, b.LastRequest AS SesLastRequest, b.Hits AS SesHits, b.UserAgent AS SesUserAgent FROM picture AS a INNER JOIN session AS b ON a.SessionId = b.Id WHERE a.DeletionId IS NULL AND a.Gender = 0 ORDER BY a.PositiveRating - a.NegativeRating LIMIT 10
[2011-01-30/20:33:41] mysqlqry | UPDATE session SET Hits = 11 WHERE Id = 1
[2011-01-30/20:33:42] mysqlqry | SELECT a.Id, a.UserId, a.Ip, a.StartTime, a.LastRequest, a.Hits, a.UserAgent, b.CreationTime, b.CreationIp, b.DeletionId, b.Username, b.Passhash, b.Email FROM session AS a LEFT JOIN user AS b ON a.UserId = b.Id WHERE a.Id = 1
[2011-01-30/20:33:42] mysqlqry | SELECT a.Id, a.Md5, a.Gender, a.SessionId, a.UploadTime, a.SiteHits, a.PositiveRating, a.NegativeRating, a.DeletionId, b.UserId AS SesUserId, b.Ip AS SesIp, b.StartTime AS SesStartTime, b.LastRequest AS SesLastRequest, b.Hits AS SesHits, b.UserAgent AS SesUserAgent FROM picture AS a INNER JOIN session AS b ON a.SessionId = b.Id WHERE a.DeletionId IS NULL AND a.Gender = 1 ORDER BY a.PositiveRating - a.NegativeRating LIMIT 10
[2011-01-30/20:33:42] mysqlqry | UPDATE session SET LastRequest = 1296416022, Hits = 12 WHERE Id = 1
[2011-01-30/20:33:42] mysqlqry | SELECT a.Id, a.UserId, a.Ip, a.StartTime, a.LastRequest, a.Hits, a.UserAgent, b.CreationTime, b.CreationIp, b.DeletionId, b.Username, b.Passhash, b.Email FROM session AS a LEFT JOIN user AS b ON a.UserId = b.Id WHERE a.Id = 1
[2011-01-30/20:33:42] mysqlqry | SELECT a.Id, a.Md5, a.Gender, a.SessionId, a.UploadTime, a.SiteHits, a.PositiveRating, a.NegativeRating, a.DeletionId, b.UserId AS SesUserId, b.Ip AS SesIp, b.StartTime AS SesStartTime, b.LastRequest AS SesLastRequest, b.Hits AS SesHits, b.UserAgent AS SesUserAgent FROM picture AS a INNER JOIN session AS b ON a.SessionId = b.Id WHERE a.DeletionId IS NULL AND a.Gender = 0 ORDER BY RAND() LIMIT 2
[2011-01-30/20:33:42] mysqlqry | UPDATE session SET Hits = 13 WHERE Id = 1
[2011-01-30/20:33:43] mysqlqry | SELECT a.Id, a.UserId, a.Ip, a.StartTime, a.LastRequest, a.Hits, a.UserAgent, b.CreationTime, b.CreationIp, b.DeletionId, b.Username, b.Passhash, b.Email FROM session AS a LEFT JOIN user AS b ON a.UserId = b.Id WHERE a.Id = 1
[2011-01-30/20:33:43] mysqlqry | UPDATE session SET LastRequest = 1296416023, Hits = 14 WHERE Id = 1
[2011-01-30/20:33:43] mysqlqry | SELECT a.Id, a.UserId, a.Ip, a.StartTime, a.LastRequest, a.Hits, a.UserAgent, b.CreationTime, b.CreationIp, b.DeletionId, b.Username, b.Passhash, b.Email FROM session AS a LEFT JOIN user AS b ON a.UserId = b.Id WHERE a.Id = 1
[2011-01-30/20:33:43] mysqlqry | UPDATE session SET Hits = 15 WHERE Id = 1
[2011-01-30/20:33:44] mysqlqry | SELECT a.Id, a.UserId, a.Ip, a.StartTime, a.LastRequest, a.Hits, a.UserAgent, b.CreationTime, b.CreationIp, b.DeletionId, b.Username, b.Passhash, b.Email FROM session AS a LEFT JOIN user AS b ON a.UserId = b.Id WHERE a.Id = 1
[2011-01-30/20:33:44] mysqlqry | UPDATE session SET LastRequest = 1296416024, Hits = 16 WHERE Id = 1
[2011-01-30/20:33:55] mysqlqry | SELECT a.Id, a.UserId, a.Ip, a.StartTime, a.LastRequest, a.Hits, a.UserAgent, b.CreationTime, b.CreationIp, b.DeletionId, b.Username, b.Passhash, b.Email FROM session AS a LEFT JOIN user AS b ON a.UserId = b.Id WHERE a.Id = 1
[2011-01-30/20:33:55] mysqlqry | UPDATE session SET LastRequest = 1296416035, Hits = 17 WHERE Id = 1
[2011-01-30/20:34:09] mysqlqry | SELECT a.Id, a.UserId, a.Ip, a.StartTime, a.LastRequest, a.Hits, a.UserAgent, b.CreationTime, b.CreationIp, b.DeletionId, b.Username, b.Passhash, b.Email FROM session AS a LEFT JOIN user AS b ON a.UserId = b.Id WHERE a.Id = 1
[2011-01-30/20:34:09] mysqlqry | UPDATE session SET LastRequest = 1296416049, Hits = 18 WHERE Id = 1
[2011-01-30/20:34:44] mysqlqry | SELECT a.Id, a.UserId, a.Ip, a.StartTime, a.LastRequest, a.Hits, a.UserAgent, b.CreationTime, b.CreationIp, b.DeletionId, b.Username, b.Passhash, b.Email FROM session AS a LEFT JOIN user AS b ON a.UserId = b.Id WHERE a.Id = 1
[2011-01-30/20:34:44] mysqlqry | UPDATE session SET LastRequest = 1296416084, Hits = 19 WHERE Id = 1
[2011-01-30/20:34:45] mysqlqry | SELECT a.Id, a.UserId, a.Ip, a.StartTime, a.LastRequest, a.Hits, a.UserAgent, b.CreationTime, b.CreationIp, b.DeletionId, b.Username, b.Passhash, b.Email FROM session AS a LEFT JOIN user AS b ON a.UserId = b.Id WHERE a.Id = 1
[2011-01-30/20:34:45] mysqlqry | SELECT a.Id, a.Md5, a.Gender, a.SessionId, a.UploadTime, a.SiteHits, a.PositiveRating, a.NegativeRating, a.DeletionId, b.UserId AS SesUserId, b.Ip AS SesIp, b.StartTime AS SesStartTime, b.LastRequest AS SesLastRequest, b.Hits AS SesHits, b.UserAgent AS SesUserAgent FROM picture AS a INNER JOIN session AS b ON a.SessionId = b.Id WHERE a.DeletionId IS NULL AND a.Gender = 0 ORDER BY RAND() LIMIT 2
[2011-01-30/20:34:45] mysqlqry | UPDATE session SET LastRequest = 1296416085, Hits = 20 WHERE Id = 1
[2011-01-30/20:34:45] mysqlqry | SELECT a.Id, a.UserId, a.Ip, a.StartTime, a.LastRequest, a.Hits, a.UserAgent, b.CreationTime, b.CreationIp, b.DeletionId, b.Username, b.Passhash, b.Email FROM session AS a LEFT JOIN user AS b ON a.UserId = b.Id WHERE a.Id = 1
[2011-01-30/20:34:45] mysqlqry | UPDATE session SET Hits = 21 WHERE Id = 1
[2011-01-30/20:34:49] mysqlqry | SELECT a.Id, a.UserId, a.Ip, a.StartTime, a.LastRequest, a.Hits, a.UserAgent, b.CreationTime, b.CreationIp, b.DeletionId, b.Username, b.Passhash, b.Email FROM session AS a LEFT JOIN user AS b ON a.UserId = b.Id WHERE a.Id = 1
[2011-01-30/20:34:49] mysqlqry | SELECT a.Id, a.Md5, a.Gender, a.SessionId, a.UploadTime, a.SiteHits, a.PositiveRating, a.NegativeRating, a.DeletionId, b.UserId AS SesUserId, b.Ip AS SesIp, b.StartTime AS SesStartTime, b.LastRequest AS SesLastRequest, b.Hits AS SesHits, b.UserAgent AS SesUserAgent FROM picture AS a INNER JOIN session AS b ON a.SessionId = b.Id WHERE a.DeletionId IS NULL AND a.Gender = 1 ORDER BY a.PositiveRating - a.NegativeRating LIMIT 10
[2011-01-30/20:34:49] mysqlqry | UPDATE session SET LastRequest = 1296416089, Hits = 22 WHERE Id = 1
[2011-01-30/20:34:50] mysqlqry | SELECT a.Id, a.UserId, a.Ip, a.StartTime, a.LastRequest, a.Hits, a.UserAgent, b.CreationTime, b.CreationIp, b.DeletionId, b.Username, b.Passhash, b.Email FROM session AS a LEFT JOIN user AS b ON a.UserId = b.Id WHERE a.Id = 1
[2011-01-30/20:34:50] mysqlqry | SELECT a.Id, a.Md5, a.Gender, a.SessionId, a.UploadTime, a.SiteHits, a.PositiveRating, a.NegativeRating, a.DeletionId, b.UserId AS SesUserId, b.Ip AS SesIp, b.StartTime AS SesStartTime, b.LastRequest AS SesLastRequest, b.Hits AS SesHits, b.UserAgent AS SesUserAgent FROM picture AS a INNER JOIN session AS b ON a.SessionId = b.Id WHERE a.DeletionId IS NULL AND a.Gender = 0 ORDER BY a.PositiveRating - a.NegativeRating LIMIT 10
[2011-01-30/20:34:50] mysqlqry | UPDATE session SET LastRequest = 1296416090, Hits = 23 WHERE Id = 1
[2011-01-30/20:34:51] mysqlqry | SELECT a.Id, a.UserId, a.Ip, a.StartTime, a.LastRequest, a.Hits, a.UserAgent, b.CreationTime, b.CreationIp, b.DeletionId, b.Username, b.Passhash, b.Email FROM session AS a LEFT JOIN user AS b ON a.UserId = b.Id WHERE a.Id = 1
[2011-01-30/20:34:51] mysqlqry | SELECT a.Id, a.Md5, a.Gender, a.SessionId, a.UploadTime, a.SiteHits, a.PositiveRating, a.NegativeRating, a.DeletionId, b.UserId AS SesUserId, b.Ip AS SesIp, b.StartTime AS SesStartTime, b.LastRequest AS SesLastRequest, b.Hits AS SesHits, b.UserAgent AS SesUserAgent FROM picture AS a INNER JOIN session AS b ON a.SessionId = b.Id WHERE a.DeletionId IS NULL AND a.Gender = 1 ORDER BY RAND() LIMIT 2
[2011-01-30/20:34:51] mysqlqry | UPDATE session SET LastRequest = 1296416091, Hits = 24 WHERE Id = 1
[2011-01-30/20:34:52] mysqlqry | SELECT a.Id, a.UserId, a.Ip, a.StartTime, a.LastRequest, a.Hits, a.UserAgent, b.CreationTime, b.CreationIp, b.DeletionId, b.Username, b.Passhash, b.Email FROM session AS a LEFT JOIN user AS b ON a.UserId = b.Id WHERE a.Id = 1
[2011-01-30/20:34:52] mysqlqry | UPDATE session SET Hits = 25 WHERE Id = 1
[2011-01-30/20:34:53] mysqlqry | SELECT a.Id, a.UserId, a.Ip, a.StartTime, a.LastRequest, a.Hits, a.UserAgent, b.CreationTime, b.CreationIp, b.DeletionId, b.Username, b.Passhash, b.Email FROM session AS a LEFT JOIN user AS b ON a.UserId = b.Id WHERE a.Id = 1
[2011-01-30/20:34:53] mysqlqry | UPDATE session SET LastRequest = 1296416093, Hits = 26 WHERE Id = 1
[2011-01-30/20:34:54] mysqlqry | SELECT a.Id, a.UserId, a.Ip, a.StartTime, a.LastRequest, a.Hits, a.UserAgent, b.CreationTime, b.CreationIp, b.DeletionId, b.Username, b.Passhash, b.Email FROM session AS a LEFT JOIN user AS b ON a.UserId = b.Id WHERE a.Id = 1
[2011-01-30/20:34:54] mysqlqry | UPDATE session SET LastRequest = 1296416094, Hits = 27 WHERE Id = 1
[2011-01-30/20:34:57] mysqlqry | SELECT a.Id, a.UserId, a.Ip, a.StartTime, a.LastRequest, a.Hits, a.UserAgent, b.CreationTime, b.CreationIp, b.DeletionId, b.Username, b.Passhash, b.Email FROM session AS a LEFT JOIN user AS b ON a.UserId = b.Id WHERE a.Id = 1
[2011-01-30/20:34:57] mysqlqry | UPDATE session SET LastRequest = 1296416097, Hits = 28 WHERE Id = 1
[2011-01-30/20:39:51] mysqlqry | SELECT a.Id, a.UserId, a.Ip, a.StartTime, a.LastRequest, a.Hits, a.UserAgent, b.CreationTime, b.CreationIp, b.DeletionId, b.Username, b.Passhash, b.Email FROM session AS a LEFT JOIN user AS b ON a.UserId = b.Id WHERE a.Id = 1
[2011-01-30/20:39:51] mysqlqry | UPDATE session SET LastRequest = 1296416391, Hits = 29 WHERE Id = 1
[2011-01-30/20:39:51] mysqlqry | SELECT a.Id, a.UserId, a.Ip, a.StartTime, a.LastRequest, a.Hits, a.UserAgent, b.CreationTime, b.CreationIp, b.DeletionId, b.Username, b.Passhash, b.Email FROM session AS a LEFT JOIN user AS b ON a.UserId = b.Id WHERE a.Id = 1
[2011-01-30/20:39:51] mysqlqry | UPDATE session SET Hits = 30 WHERE Id = 1
[2011-01-30/20:39:52] mysqlqry | SELECT a.Id, a.UserId, a.Ip, a.StartTime, a.LastRequest, a.Hits, a.UserAgent, b.CreationTime, b.CreationIp, b.DeletionId, b.Username, b.Passhash, b.Email FROM session AS a LEFT JOIN user AS b ON a.UserId = b.Id WHERE a.Id = 1
[2011-01-30/20:39:52] mysqlqry | UPDATE session SET LastRequest = 1296416392, Hits = 31 WHERE Id = 1
[2011-01-30/20:39:52] mysqlqry | SELECT a.Id, a.UserId, a.Ip, a.StartTime, a.LastRequest, a.Hits, a.UserAgent, b.CreationTime, b.CreationIp, b.DeletionId, b.Username, b.Passhash, b.Email FROM session AS a LEFT JOIN user AS b ON a.UserId = b.Id WHERE a.Id = 1
[2011-01-30/20:39:52] mysqlqry | UPDATE session SET Hits = 32 WHERE Id = 1
[2011-01-30/20:39:54] mysqlqry | SELECT a.Id, a.UserId, a.Ip, a.StartTime, a.LastRequest, a.Hits, a.UserAgent, b.CreationTime, b.CreationIp, b.DeletionId, b.Username, b.Passhash, b.Email FROM session AS a LEFT JOIN user AS b ON a.UserId = b.Id WHERE a.Id = 1
[2011-01-30/20:39:54] mysqlqry | UPDATE session SET LastRequest = 1296416394, Hits = 33 WHERE Id = 1
[2011-01-30/20:40:37] mysqlqry | SELECT a.Id, a.UserId, a.Ip, a.StartTime, a.LastRequest, a.Hits, a.UserAgent, b.CreationTime, b.CreationIp, b.DeletionId, b.Username, b.Passhash, b.Email FROM session AS a LEFT JOIN user AS b ON a.UserId = b.Id WHERE a.Id = 1
[2011-01-30/20:40:37] mysqlqry | SELECT a.Id, a.Md5, a.Gender, a.SessionId, a.UploadTime, a.SiteHits, a.PositiveRating, a.NegativeRating, a.DeletionId, b.UserId AS SesUserId, b.Ip AS SesIp, b.StartTime AS SesStartTime, b.LastRequest AS SesLastRequest, b.Hits AS SesHits, b.UserAgent AS SesUserAgent FROM picture AS a INNER JOIN session AS b ON a.SessionId = b.Id WHERE a.DeletionId IS NULL AND a.Gender = 0 ORDER BY a.PositiveRating - a.NegativeRating LIMIT 10
[2011-01-30/20:40:37] mysqlqry | UPDATE session SET LastRequest = 1296416437, Hits = 34 WHERE Id = 1
[2011-01-30/20:40:37] mysqlqry | SELECT a.Id, a.UserId, a.Ip, a.StartTime, a.LastRequest, a.Hits, a.UserAgent, b.CreationTime, b.CreationIp, b.DeletionId, b.Username, b.Passhash, b.Email FROM session AS a LEFT JOIN user AS b ON a.UserId = b.Id WHERE a.Id = 1
[2011-01-30/20:40:37] mysqlqry | SELECT a.Id, a.Md5, a.Gender, a.SessionId, a.UploadTime, a.SiteHits, a.PositiveRating, a.NegativeRating, a.DeletionId, b.UserId AS SesUserId, b.Ip AS SesIp, b.StartTime AS SesStartTime, b.LastRequest AS SesLastRequest, b.Hits AS SesHits, b.UserAgent AS SesUserAgent FROM picture AS a INNER JOIN session AS b ON a.SessionId = b.Id WHERE a.DeletionId IS NULL AND a.Gender = 1 ORDER BY a.PositiveRating - a.NegativeRating LIMIT 10
[2011-01-30/20:40:37] mysqlqry | UPDATE session SET Hits = 35 WHERE Id = 1
[2011-01-30/20:40:38] mysqlqry | SELECT a.Id, a.UserId, a.Ip, a.StartTime, a.LastRequest, a.Hits, a.UserAgent, b.CreationTime, b.CreationIp, b.DeletionId, b.Username, b.Passhash, b.Email FROM session AS a LEFT JOIN user AS b ON a.UserId = b.Id WHERE a.Id = 1
[2011-01-30/20:40:38] mysqlqry | SELECT a.Id, a.Md5, a.Gender, a.SessionId, a.UploadTime, a.SiteHits, a.PositiveRating, a.NegativeRating, a.DeletionId, b.UserId AS SesUserId, b.Ip AS SesIp, b.StartTime AS SesStartTime, b.LastRequest AS SesLastRequest, b.Hits AS SesHits, b.UserAgent AS SesUserAgent FROM picture AS a INNER JOIN session AS b ON a.SessionId = b.Id WHERE a.DeletionId IS NULL AND a.Gender = 0 ORDER BY RAND() LIMIT 2
[2011-01-30/20:40:38] mysqlqry | UPDATE session SET LastRequest = 1296416438, Hits = 36 WHERE Id = 1
[2011-01-30/20:40:39] mysqlqry | SELECT a.Id, a.UserId, a.Ip, a.StartTime, a.LastRequest, a.Hits, a.UserAgent, b.CreationTime, b.CreationIp, b.DeletionId, b.Username, b.Passhash, b.Email FROM session AS a LEFT JOIN user AS b ON a.UserId = b.Id WHERE a.Id = 1
[2011-01-30/20:40:39] mysqlqry | SELECT a.Id, a.Md5, a.Gender, a.SessionId, a.UploadTime, a.SiteHits, a.PositiveRating, a.NegativeRating, a.DeletionId, b.UserId AS SesUserId, b.Ip AS SesIp, b.StartTime AS SesStartTime, b.LastRequest AS SesLastRequest, b.Hits AS SesHits, b.UserAgent AS SesUserAgent FROM picture AS a INNER JOIN session AS b ON a.SessionId = b.Id WHERE a.DeletionId IS NULL AND a.Gender = 1 ORDER BY a.PositiveRating - a.NegativeRating LIMIT 10
[2011-01-30/20:40:39] mysqlqry | UPDATE session SET LastRequest = 1296416439, Hits = 37 WHERE Id = 1
[2011-01-30/20:40:39] mysqlqry | SELECT a.Id, a.UserId, a.Ip, a.StartTime, a.LastRequest, a.Hits, a.UserAgent, b.CreationTime, b.CreationIp, b.DeletionId, b.Username, b.Passhash, b.Email FROM session AS a LEFT JOIN user AS b ON a.UserId = b.Id WHERE a.Id = 1
[2011-01-30/20:40:39] mysqlqry | SELECT a.Id, a.Md5, a.Gender, a.SessionId, a.UploadTime, a.SiteHits, a.PositiveRating, a.NegativeRating, a.DeletionId, b.UserId AS SesUserId, b.Ip AS SesIp, b.StartTime AS SesStartTime, b.LastRequest AS SesLastRequest, b.Hits AS SesHits, b.UserAgent AS SesUserAgent FROM picture AS a INNER JOIN session AS b ON a.SessionId = b.Id WHERE a.DeletionId IS NULL AND a.Gender = 1 ORDER BY a.PositiveRating - a.NegativeRating LIMIT 10
[2011-01-30/20:40:39] mysqlqry | UPDATE session SET Hits = 38 WHERE Id = 1
[2011-01-30/20:40:39] mysqlqry | SELECT a.Id, a.UserId, a.Ip, a.StartTime, a.LastRequest, a.Hits, a.UserAgent, b.CreationTime, b.CreationIp, b.DeletionId, b.Username, b.Passhash, b.Email FROM session AS a LEFT JOIN user AS b ON a.UserId = b.Id WHERE a.Id = 1
[2011-01-30/20:40:39] mysqlqry | SELECT a.Id, a.Md5, a.Gender, a.SessionId, a.UploadTime, a.SiteHits, a.PositiveRating, a.NegativeRating, a.DeletionId, b.UserId AS SesUserId, b.Ip AS SesIp, b.StartTime AS SesStartTime, b.LastRequest AS SesLastRequest, b.Hits AS SesHits, b.UserAgent AS SesUserAgent FROM picture AS a INNER JOIN session AS b ON a.SessionId = b.Id WHERE a.DeletionId IS NULL AND a.Gender = 1 ORDER BY a.PositiveRating - a.NegativeRating LIMIT 10
[2011-01-30/20:40:39] mysqlqry | UPDATE session SET Hits = 39 WHERE Id = 1
[2011-01-30/20:40:39] mysqlqry | SELECT a.Id, a.UserId, a.Ip, a.StartTime, a.LastRequest, a.Hits, a.UserAgent, b.CreationTime, b.CreationIp, b.DeletionId, b.Username, b.Passhash, b.Email FROM session AS a LEFT JOIN user AS b ON a.UserId = b.Id WHERE a.Id = 1
[2011-01-30/20:40:39] mysqlqry | SELECT a.Id, a.Md5, a.Gender, a.SessionId, a.UploadTime, a.SiteHits, a.PositiveRating, a.NegativeRating, a.DeletionId, b.UserId AS SesUserId, b.Ip AS SesIp, b.StartTime AS SesStartTime, b.LastRequest AS SesLastRequest, b.Hits AS SesHits, b.UserAgent AS SesUserAgent FROM picture AS a INNER JOIN session AS b ON a.SessionId = b.Id WHERE a.DeletionId IS NULL AND a.Gender = 1 ORDER BY a.PositiveRating - a.NegativeRating LIMIT 10
[2011-01-30/20:40:39] mysqlqry | UPDATE session SET Hits = 40 WHERE Id = 1
[2011-01-30/20:40:40] mysqlqry | SELECT a.Id, a.UserId, a.Ip, a.StartTime, a.LastRequest, a.Hits, a.UserAgent, b.CreationTime, b.CreationIp, b.DeletionId, b.Username, b.Passhash, b.Email FROM session AS a LEFT JOIN user AS b ON a.UserId = b.Id WHERE a.Id = 1
